Border,Date,Measure,Value,Average
US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,11867835,14053470
US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicles,6377710,6536939
US-Mexico Border,03/01/2019 12:00:00 AM,Pedestrians,4228773,3694319
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,3765337,5521200
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,1993520,2640471
US-Mexico Border,03/01/2019 12:00:00 AM,Trucks,562555,398551
US-Canada Border,03/01/2019 12:00:00 AM,Trucks,488046,510095
US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Full,414473,252771
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,366698,381795
US-Mexico Border,03/01/2019 12:00:00 AM,Bus Passengers,177326,243979
US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Full,160144,108996
US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Empty,155368,141163
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Empty,132252,88184
US-Canada Border,03/01/2019 12:00:00 AM,Bus Passengers,89326,267044
US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Empty,64969,44193
US-Mexico Border,03/01/2019 12:00:00 AM,Rail Containers Empty,45238,31451
US-Mexico Border,03/01/2019 12:00:00 AM,Rail Containers Full,44869,27994
US-Canada Border,03/01/2019 12:00:00 AM,Pedestrians,18500,46583
US-Canada Border,03/01/2019 12:00:00 AM,Train Passengers,13314,21210
US-Mexico Border,03/01/2019 12:00:00 AM,Buses,13095,19558
US-Canada Border,03/01/2019 12:00:00 AM,Buses,4419,11112
US-Canada Border,03/01/2019 12:00:00 AM,Trains,1945,2515
US-Mexico Border,03/01/2019 12:00:00 AM,Trains,991,726
US-Mexico Border,03/01/2019 12:00:00 AM,Train Passengers,858,1032
US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,10295407,14067037
US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicles,5656319,6540118
US-Mexico Border,02/01/2019 12:00:00 AM,Pedestrians,3416106,3695324
US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,2777212,5531106
US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicles,1534560,2644463
US-Mexico Border,02/01/2019 12:00:00 AM,Trucks,512524,398139
US-Canada Border,02/01/2019 12:00:00 AM,Trucks,429813,510385
US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Full,375688,252327
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Full,323630,382005
US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Empty,142612,141158
US-Mexico Border,02/01/2019 12:00:00 AM,Bus Passengers,125669,244406
US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Full,123643,108943
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Empty,115624,88085
US-Canada Border,02/01/2019 12:00:00 AM,Bus Passengers,75740,267734
US-Mexico Border,02/01/2019 12:00:00 AM,Rail Containers Empty,46374,31398
US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Empty,44492,44192
US-Mexico Border,02/01/2019 12:00:00 AM,Rail Containers Full,37029,27962
US-Canada Border,02/01/2019 12:00:00 AM,Pedestrians,12009,46708
US-Mexico Border,02/01/2019 12:00:00 AM,Buses,11467,19587
US-Canada Border,02/01/2019 12:00:00 AM,Train Passengers,9277,21253
US-Canada Border,02/01/2019 12:00:00 AM,Buses,3770,11139
US-Canada Border,02/01/2019 12:00:00 AM,Trains,1607,2518
US-Mexico Border,02/01/2019 12:00:00 AM,Trains,931,725
US-Mexico Border,02/01/2019 12:00:00 AM,Train Passengers,816,1033
US-Mexico Border,01/01/2019 12:00:00 AM,Personal Vehicle Passengers,11860567,14075031
US-Mexico Border,01/01/2019 12:00:00 AM,Personal Vehicles,6301772,6540982
US-Mexico Border,01/01/2019 12:00:00 AM,Pedestrians,3894421,3694602
US-Canada Border,01/01/2019 12:00:00 AM,Personal Vehicle Passengers,2928980,5540534
US-Canada Border,01/01/2019 12:00:00 AM,Personal Vehicles,1645776,2648082
US-Mexico Border,01/01/2019 12:00:00 AM,Trucks,544903,397608
US-Canada Border,01/01/2019 12:00:00 AM,Trucks,467770,510539
US-Mexico Border,01/01/2019 12:00:00 AM,Truck Containers Full,395495,251808
US-Canada Border,01/01/2019 12:00:00 AM,Truck Containers Full,354429,382105
US-Mexico Border,01/01/2019 12:00:00 AM,Bus Passengers,195869,244582
US-Mexico Border,01/01/2019 12:00:00 AM,Truck Containers Empty,155782,141105
US-Canada Border,01/01/2019 12:00:00 AM,Rail Containers Full,155660,108774
US-Canada Border,01/01/2019 12:00:00 AM,Truck Containers Empty,124042,87955
US-Canada Border,01/01/2019 12:00:00 AM,Bus Passengers,74112,268436
US-Canada Border,01/01/2019 12:00:00 AM,Rail Containers Empty,57862,44143
US-Mexico Border,01/01/2019 12:00:00 AM,Rail Containers Empty,50411,31329
US-Mexico Border,01/01/2019 12:00:00 AM,Rail Containers Full,32440,27945
US-Canada Border,01/01/2019 12:00:00 AM,Pedestrians,14412,46825
US-Mexico Border,01/01/2019 12:00:00 AM,Buses,13137,19610
US-Canada Border,01/01/2019 12:00:00 AM,Train Passengers,12902,21283
US-Canada Border,01/01/2019 12:00:00 AM,Buses,3903,11165
US-Canada Border,01/01/2019 12:00:00 AM,Trains,2033,2520
US-Mexico Border,01/01/2019 12:00:00 AM,Trains,994,724
US-Mexico Border,01/01/2019 12:00:00 AM,Train Passengers,847,1034
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,12388647,14081164
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicles,6327597,6541758
US-Mexico Border,12/01/2018 12:00:00 AM,Pedestrians,4319416,3692330
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,3878052,5546579
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,2005044,2650420
US-Mexico Border,12/01/2018 12:00:00 AM,Trucks,469397,397347
US-Canada Border,12/01/2018 12:00:00 AM,Trucks,410534,510903
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Full,321593,251554
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Full,277418,382485
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Full,174518,108535
US-Mexico Border,12/01/2018 12:00:00 AM,Bus Passengers,163284,244877
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Empty,147782,141080
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,136378,87779
US-Canada Border,12/01/2018 12:00:00 AM,Bus Passengers,90296,269084
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,58295,44091
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Empty,52383,31252
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Full,40776,27899
US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,20703,46920
US-Mexico Border,12/01/2018 12:00:00 AM,Buses,14129,19630
US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,12838,21314
US-Canada Border,12/01/2018 12:00:00 AM,Buses,4082,11191
US-Canada Border,12/01/2018 12:00:00 AM,Trains,1996,2521
US-Mexico Border,12/01/2018 12:00:00 AM,Trains,970,724
US-Mexico Border,12/01/2018 12:00:00 AM,Train Passengers,870,1034
US-Mexico Border,11/01/2018 12:00:00 AM,Personal Vehicle Passengers,11389748,14090986
US-Mexico Border,11/01/2018 12:00:00 AM,Personal Vehicles,6083730,6543430
US-Mexico Border,11/01/2018 12:00:00 AM,Pedestrians,3959951,3691354
US-Canada Border,11/01/2018 12:00:00 AM,Personal Vehicle Passengers,3523204,5553964
US-Canada Border,11/01/2018 12:00:00 AM,Personal Vehicles,1933646,2653036
US-Mexico Border,11/01/2018 12:00:00 AM,Trucks,535417,396843
US-Canada Border,11/01/2018 12:00:00 AM,Trucks,476793,511027
US-Mexico Border,11/01/2018 12:00:00 AM,Truck Containers Full,390148,251048
US-Canada Border,11/01/2018 12:00:00 AM,Truck Containers Full,358925,382571
US-Canada Border,11/01/2018 12:00:00 AM,Rail Containers Full,163324,108335
US-Mexico Border,11/01/2018 12:00:00 AM,Truck Containers Empty,150973,141044
US-Mexico Border,11/01/2018 12:00:00 AM,Bus Passengers,150920,245220
US-Canada Border,11/01/2018 12:00:00 AM,Truck Containers Empty,127697,87633
US-Canada Border,11/01/2018 12:00:00 AM,Bus Passengers,105606,269680
US-Canada Border,11/01/2018 12:00:00 AM,Rail Containers Empty,59112,44036
US-Mexico Border,11/01/2018 12:00:00 AM,Rail Containers Empty,54868,31166
US-Mexico Border,11/01/2018 12:00:00 AM,Rail Containers Full,41616,27849
