Border,Date,Measure,Value,Average
US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,11867835,14052973
US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicles,6377710,6536732
US-Mexico Border,03/01/2019 12:00:00 AM,Pedestrians,4228773,3694301
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,3765337,5520885
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,1993457,2639825
US-Mexico Border,03/01/2019 12:00:00 AM,Trucks,562555,398533
US-Canada Border,03/01/2019 12:00:00 AM,Trucks,487954,509728
US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Full,414473,252756
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,366342,381542
US-Mexico Border,03/01/2019 12:00:00 AM,Bus Passengers,177155,243948
US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Full,160144,108950
US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Empty,155368,141151
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Empty,131841,87873
US-Canada Border,03/01/2019 12:00:00 AM,Bus Passengers,89268,266829
US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Empty,64969,44155
US-Mexico Border,03/01/2019 12:00:00 AM,Rail Containers Empty,45238,31451
US-Mexico Border,03/01/2019 12:00:00 AM,Rail Containers Full,44869,27994
US-Canada Border,03/01/2019 12:00:00 AM,Pedestrians,18444,46500
US-Canada Border,03/01/2019 12:00:00 AM,Train Passengers,13239,21108
US-Mexico Border,03/01/2019 12:00:00 AM,Buses,12990,19534
US-Canada Border,03/01/2019 12:00:00 AM,Buses,4293,10996
US-Canada Border,03/01/2019 12:00:00 AM,Trains,1900,2427
US-Mexico Border,03/01/2019 12:00:00 AM,Trains,991,721
US-Mexico Border,03/01/2019 12:00:00 AM,Train Passengers,858,1032
US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,10295407,14066538
US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicles,5656319,6539910
US-Mexico Border,02/01/2019 12:00:00 AM,Pedestrians,3416106,3695305
US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,2777212,5530790
US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicles,1534560,2643815
US-Mexico Border,02/01/2019 12:00:00 AM,Trucks,512524,398122
US-Canada Border,02/01/2019 12:00:00 AM,Trucks,429198,510018
US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Full,375688,252312
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Full,323619,381751
US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Empty,142612,141145
US-Mexico Border,02/01/2019 12:00:00 AM,Bus Passengers,125669,244375
US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Full,123643,108897
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Empty,115520,87773
US-Canada Border,02/01/2019 12:00:00 AM,Bus Passengers,75692,267519
US-Mexico Border,02/01/2019 12:00:00 AM,Rail Containers Empty,46374,31397
US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Empty,44492,44154
US-Mexico Border,02/01/2019 12:00:00 AM,Rail Containers Full,37029,27961
US-Canada Border,02/01/2019 12:00:00 AM,Pedestrians,12006,46625
US-Mexico Border,02/01/2019 12:00:00 AM,Buses,11467,19563
US-Canada Border,02/01/2019 12:00:00 AM,Train Passengers,9242,21151
US-Canada Border,02/01/2019 12:00:00 AM,Buses,3723,11023
US-Canada Border,02/01/2019 12:00:00 AM,Trains,1507,2431
US-Mexico Border,02/01/2019 12:00:00 AM,Trains,931,721
US-Mexico Border,02/01/2019 12:00:00 AM,Train Passengers,816,1033
US-Mexico Border,01/01/2019 12:00:00 AM,Personal Vehicle Passengers,11860567,14074531
US-Mexico Border,01/01/2019 12:00:00 AM,Personal Vehicles,6301772,6540773
US-Mexico Border,01/01/2019 12:00:00 AM,Pedestrians,3894421,3694584
US-Canada Border,01/01/2019 12:00:00 AM,Personal Vehicle Passengers,2928980,5540216
US-Canada Border,01/01/2019 12:00:00 AM,Personal Vehicles,1645776,2647431
US-Mexico Border,01/01/2019 12:00:00 AM,Trucks,544903,397590
